"书名","nid","测一测上传图片","测一测音频","测一测答案选项","测一测对应的新标准单元","age","category"
"1AU1_panda","171","http://ilearning.cn/sites/default/files/ceshitupian/1AU1_Panda.jpg"," Panda.mp3","Panda, Cat, Bear, Dog","1A_U1","",""
"1AU1_Sam","172","http://ilearning.cn/sites/default/files/ceshitupian/1AU1_Sam.jpg"," Sam.mp3","Sam, Tom, Danny, Mike","1A_U1","",""
"1AU2_daddy","173","http://ilearning.cn/sites/default/files/ceshitupian/1AU2_Daddy.jpg"," Daddy.mp3","daddy, mummy, Sam, uncle","1A_U2","",""
"1AU2_mummy","174","http://ilearning.cn/sites/default/files/ceshitupian/1AU2_Mummy.jpg"," Mummy.mp3","mummy, grandma, uncle, daddy","1A_U2","",""
"1AU3_Lingling","175","http://ilearning.cn/sites/default/files/ceshitupian/1AU3_Lingling.jpg"," Lingling.mp3","Lingling, Lisa, Lucy, Lin","1A_U3","",""
"1AU3_rabbit","176","http://ilearning.cn/sites/default/files/ceshitupian/1AU3_Rabbit.jpg"," Rabbit.mp3","Rabbit, Panda, Dog, Cat","1A_U3","",""
"1AU4_Ball","177","http://ilearning.cn/sites/default/files/ceshitupian/1AU3_Ball_0.jpg"," Ball.mp3","ball, tall, bowl, box","1A_U3","",""
"1AU4_hands","178","http://ilearning.cn/sites/default/files/ceshitupian/1AU4_Hands.jpg"," Hands.mp3","hands, legs, arms, nose","1A_U4","",""
"1AU4_feet","179","http://ilearning.cn/sites/default/files/ceshitupian/1AU4_feet.jpg"," feet.mp3","feet, hand, meet, heat","1A_U4","",""
"1AU5_one","180","http://ilearning.cn/sites/default/files/ceshitupian/1AU5_one.jpg"," one.mp3","one, none, two, three","1A_U5","",""
"1AU5_two","181","http://ilearning.cn/sites/default/files/ceshitupian/1AU5_two.jpg"," two.mp3","two, one, three, four","1A_U5","",""
"1AU6_face","182","http://ilearning.cn/sites/default/files/ceshitupian/1AU6_face.jpg"," (443660)(新标准幼儿英语小学英语预备课程(教学卡片)(1A)(点读版)声音文件)1A_U6_01.mp3","face, arm, leg, hand","1A_U6","",""
"1AU6_eyes","183","http://ilearning.cn/sites/default/files/ceshitupian/1AU6_eyes.jpg"," eyes.mp3","eyes, hand, arm, face","1A_U6","",""
"1AU7_cat","184","http://ilearning.cn/sites/default/files/ceshitupian/1AU7_cat.jpg"," cat.mp3","cat, duck, dog, panda","1A_U7","",""
"1AU7_see","185","http://ilearning.cn/sites/default/files/ceshitupian/1AU7_see.jpg"," see.mp3","see, hear, find, meet","1A_U7","",""
"3AU1_Amy","186","http://ilearning.cn/sites/default/files/ceshitupian/3AU1_Amy.jpg"," 3AU1_Amy.mp3","Amy, Emma, April, Anne","3A_U1","",""
"1AU8_bed","187","http://ilearning.cn/sites/default/files/ceshitupian/1AU8_bed.jpg"," bed.mp3","bed, desk, chair, table","1A_U8","",""
"1AU8_chair","188","http://ilearning.cn/sites/default/files/ceshitupian/1AU8_chair.jpg"," chair.mp3","chair, bed, desk, table","1A_U8","",""
"1AU8_little","189","http://ilearning.cn/sites/default/files/ceshitupian/1AU8_little.jpg"," little.mp3","little, big, chair, small","1A_U8","",""
"1AU8_big","190","http://ilearning.cn/sites/default/files/ceshitupian/1AU8_big.jpg"," big.mp3","big, little, small, bed","1A_U8","",""
"1AU9_book","191","http://ilearning.cn/sites/default/files/ceshitupian/1AU9_book_0.jpg"," book.mp3","book, block, pen, paper","1A_U9","",""
"1AU10_dog","192","http://ilearning.cn/sites/default/files/ceshitupian/1AU10_dog.jpg"," dog.mp3","dog, cat, panda, duck","1A_U10","",""
"1AU10_duck","193","http://ilearning.cn/sites/default/files/ceshitupian/1AU10_duck.jpg"," duck.mp3","duck, dog, chicken, bird","1A_U10","",""
"1AU11_walk","194","http://ilearning.cn/sites/default/files/ceshitupian/1AU11_walk.jpg"," walk.mp3","walk, talk, run, jump","1A_U11","",""
"3AU1_Daming","195","http://ilearning.cn/sites/default/files/ceshitupian/3AU1_Daming_0.jpg"," 3AU1_Daming.mp3","Daming, Darwin, Xiaoming, Liming","3A_U1","",""
"1AU11_jump","196","http://ilearning.cn/sites/default/files/ceshitupian/1AU11_jump.jpg"," jump.mp3","jump, run, walk, fly","1A_U11","",""
"1AU11_fly","197","http://ilearning.cn/sites/default/files/ceshitupian/1AU11_fly.jpg"," fly.mp3","fly, jump, walk, run","1A_U11","",""
"1AU12_dumpling","198","http://ilearning.cn/sites/default/files/ceshitupian/1AU12_dumpling.jpg"," dumpling.mp3","dumpling, noodles, rice, wonton","1A_U12","",""
"1AU12_firecracker","199","http://ilearning.cn/sites/default/files/ceshitupian/1AU12_firecracker.jpg"," firecracker.mp3","firecracker, dumpling, run, jump","1A_U12","",""
"3AU1_teacher","200","http://ilearning.cn/sites/default/files/ceshitupian/3AU1_teacher_0.jpg"," 3AU1_teacher.mp3","teacher, student, singer, driver","3A_U1","",""
"2AU1_Amy","202","http://ilearning.cn/sites/default/files/ceshitupian/2AU1_Amy.jpg"," Amy.mp3","Amy, Sam, Lucy, Anny","2A_U1","",""
"2AU1_friends","203","http://ilearning.cn/sites/default/files/ceshitupian/2AU1_friends.jpg"," friends.mp3","friends, girls, boys, amy","2A_U1","",""
"2AU1_Doming","204","http://ilearning.cn/sites/default/files/ceshitupian/2AU2_Daming.jpg"," Doming.mp3","Doming, Lingling, Amy, Lucy","2A_U2","",""
"2AU3_big girl","205","http://ilearning.cn/sites/default/files/ceshitupian/2AU3_big%20girl.jpg"," big girl.mp3","big girl, little girl, girls, boys","2A_U3","",""
"2AU3_little girl","206","http://ilearning.cn/sites/default/files/ceshitupian/2AU3_little%20girl.jpg"," little girl.mp3","little girl, big girl, girls, boys","2A_U3","",""
"2AU3_big boy","207","http://ilearning.cn/sites/default/files/ceshitupian/2AU3_big%20boy.jpg"," big boy.mp3","big boy, little boy, little girl, big girl","2A_U3","",""
"2AU3_little boy","208","http://ilearning.cn/sites/default/files/ceshitupian/2AU3_little%20boy.jpg"," little boy.mp3","little boy, big boy, boy, girl","2A_U3","",""
"2AU3_girl","209","http://ilearning.cn/sites/default/files/ceshitupian/2AU3_girl.jpg"," girl.mp3","girl, boy, man, woman","2A_U3","",""
"2AU3_boy","210","http://ilearning.cn/sites/default/files/ceshitupian/2AU3_boy.jpg"," boy.mp3","boy, girl, man, woman","2A_U3","",""
"2AU4_ears","211","http://ilearning.cn/sites/default/files/ceshitupian/2AU4_ears.jpg"," ears.mp3","ears, nose, eyes, face","2A_U4","",""
"2AU4_mouth","212","http://ilearning.cn/sites/default/files/ceshitupian/2AU4_mouth.jpg"," mouth.mp3","mouth, ear, nose, eyes","2A_U4","",""
"2AU4_nose","213","http://ilearning.cn/sites/default/files/ceshitupian/2AU4_nose.jpg"," nose.mp3","nose, mouth, eyes, ears","2A_U4","",""
"2AU5_happy","214","http://ilearning.cn/sites/default/files/ceshitupian/2AU5_happy.jpg"," happy.mp3","happy, sad, angry, laugh","2A_U5","",""
"2AU5_sad","215","http://ilearning.cn/sites/default/files/ceshitupian/2AU5_sad.jpg"," sad.mp3","sad, happy, angry, laugh","2A_U5","",""
"2AU5_quiet","216","http://ilearning.cn/sites/default/files/ceshitupian/2AU5_quiet.jpg"," quiet.mp3","quiet, noisy, sad, happy","2A_U5","",""
"2AU5_loud","217","http://ilearning.cn/sites/default/files/ceshitupian/2AU5_loud.jpg"," loud.mp3","loud, quiet, noisy, sad","2A_U5","",""
"2AU6_four","218","http://ilearning.cn/sites/default/files/ceshitupian/2AU6_four.jpg"," four.mp3","four, three, one, two","2A_U6","",""
"2AU6_five","219","http://ilearning.cn/sites/default/files/ceshitupian/2AU6_five.jpg"," five.mp3","five, four, three, two","2A_U6","",""
"2AU6_fingers","220","http://ilearning.cn/sites/default/files/ceshitupian/2AU6_fingers.jpg"," fingers.mp3","fingers, hand, four, five","2A_U6","",""
"3AU2_angry","221","http://ilearning.cn/sites/default/files/ceshitupian/3AU2_angry_0.jpg"," 3AU2_angry.mp3","angry, hurry, sorry, merry","3A_U2","",""
"3AU2_happy","222","http://ilearning.cn/sites/default/files/ceshitupian/3AU2_happy_0.jpg"," 3AU2_happy.mp3","happy, sad, scary, worry","3A_U2","",""
"3AU2_hungry","223","http://ilearning.cn/sites/default/files/ceshitupian/3AU2_hungry_0.jpg"," 3AU2_hungry.mp3","hungry, thirsty, yummy, greedy","3A_U2","",""
"3AU2_scared","224","http://ilearning.cn/sites/default/files/ceshitupian/3AU2_scared_0.jpg"," 3AU2_scared.mp3","scared, frightened, afraid, dread","3A_U2","",""
"3AU3_lantern","225","http://ilearning.cn/sites/default/files/ceshitupian/3AU3_lantern_0.jpg"," 3AU3_lantern.mp3","lantern, light, lamp, spotlight","3A_U3","",""
"3AU3_moon","226","http://ilearning.cn/sites/default/files/ceshitupian/3AU3_moon_0.jpg"," 3AU3_moon.mp3","moon, sun, star, planet","3A_U3","",""
"3AU3_mooncake","227","http://ilearning.cn/sites/default/files/ceshitupian/3AU3_mooncake_0.jpg"," 3AU3_mooncake.mp3","mooncake, bread, toast, cheese","3A_U3","",""
"3AU4_head","228","http://ilearning.cn/sites/default/files/ceshitupian/3AU4_head_0.jpg"," 3AU4_head.mp3","head, brain, mouth, neck","3A_U4","",""
"3AU4_knees","229","http://ilearning.cn/sites/default/files/ceshitupian/3AU4_knees_0.jpg"," 3AU4_knees.mp3","knees, legs, ankle, foot","3A_U4","",""
"3AU4_shoulders","230","http://ilearning.cn/sites/default/files/ceshitupian/3AU4_shoulders_0.jpg"," 3AU4_shoulders.mp3","shoulders, arms, palm, hand","3A_U4","",""
"3AU4_tummy","231","http://ilearning.cn/sites/default/files/ceshitupian/3AU4_tummy_0.jpg"," 3AU4_tummy.mp3","tummy, belly, stomach, chest","3A_U4","",""
"3AU5_doctor","232","http://ilearning.cn/sites/default/files/ceshitupian/3AU5_doctor_0.jpg"," 3AU5_doctor.mp3","doctor, teacher, worker, farmer","3A_U5","",""
"3AU5_nurse","233","http://ilearning.cn/sites/default/files/ceshitupian/3AU5_nurse_0.jpg"," 3AU5_nurse.mp3","nurse, needle, medicine, hospital","3A_U5","",""
"3AU6_brushmyteeth","234","http://ilearning.cn/sites/default/files/ceshitupian/3AU6_brushmyteeth_0.jpg"," 3AU6_brushmyteeth.mp3","brush my teeth, wash my face, wash my hair, clean my hands","3A_U6","",""
"3AU6_eatgoodfood","235","http://ilearning.cn/sites/default/files/ceshitupian/3AU6_eatgoodfood_0.jpg"," 3AU6_eatgoodfood.mp3","eat good food, have some fruit, drink some tea, take a shower","3A_U6","",""
"3AU6_smile","236","http://ilearning.cn/sites/default/files/ceshitupian/3AU6_smile_0.jpg"," 3AU6_smile.mp3","smile, laugh, cry, scream","3A_U6","",""
"3AU7_baby","237","http://ilearning.cn/sites/default/files/ceshitupian/3AU7_baby_0.jpg"," 3AU7_baby.mp3","baby, child, boy, girl","3A_U7","",""
"3AU7_grandma","238","http://ilearning.cn/sites/default/files/ceshitupian/3AU7_grandma_0.jpg"," 3AU7_grandma.mp3","grandma, uncle, father, mother","3A_U7","",""
"3AU7_grandpa","239","http://ilearning.cn/sites/default/files/ceshitupian/3AU7_grandpa_0.jpg"," 3AU7_grandpa.mp3","grandpa, grandson, aunt, brother","3A_U7","",""
"3AU8_dress","240","http://ilearning.cn/sites/default/files/ceshitupian/3AU8_dress_0.jpg"," 3AU8_dress.mp3","dress, pants, skirt, robe","3A_U8","",""
"3AU8_shorts","241","http://ilearning.cn/sites/default/files/ceshitupian/3AU8_shorts_0.jpg"," 3AU8_shorts.mp3","shorts, trousers, breeches, bells","3A_U8","",""
"3AU8_socks","242","http://ilearning.cn/sites/default/files/ceshitupian/3AU8_socks_0.jpg"," 3AU8_socks.mp3","socks, belt, boots, shoes","3A_U8","",""
"3AU9_blackjacket","243","http://ilearning.cn/sites/default/files/ceshitupian/3AU9_blackjacket_0.jpg"," 3AU9_blackjacket.mp3","black jacket, white shirt, yellow skirt, red shorts","3A_U9","",""
"3AU9_pinkskirt","244","http://ilearning.cn/sites/default/files/ceshitupian/3AU9_pinkskirt_0.jpg"," 3AU9_pinkskirt.mp3","pink skirt, grey coat, blue pants, orange socks","3A_U9","",""
