"nid","xbz_id"
"99","1a_u1"
"100","1a_u2"
"101","1a_u3"
"102","1a_u4"
"103","1a_u5"
"104","1a_u6"
"105","1a_u7"
"106","1a_u8"
"107","1a_u9"
"108","1a_u10"
"109","1a_u11"
"110","1a_u12"
"111","1b_u1"
"112","1b_u2"
"113","1b_u3"
"114","1b_u4"
"115","1b_u5"
"116","1b_u6"
"117","1b_u7"
"118","1b_u8"
"119","1b_u9"
"120","1b_u10"
"121","1b_u11"
"122","1b_u12"
"123","2a_u1"
"124","2a_u2"
"125","2a_u3"
"126","2a_u4"
"127","2a_u5"
"128","2a_u6"
"129","2a_u7"
"130","2a_u8"
"131","2a_u9"
"132","2a_u10"
"133","2a_u11"
"134","2a_u12"
"135","2b_u1"
"136","2b_u2"
"137","2b_u3"
"138","2b_u4"
"139","2b_u5"
"140","2b_u6"
"141","2b_u7"
"142","2b_u8"
"143","2b_u9"
"144","2b_u10"
"145","2b_u11"
"146","2b_u12"
"147","3a_u1"
"148","3a_u2"
"149","3a_u3"
"150","3a_u4"
"151","3a_u5"
"152","3a_u6"
"153","3a_u7"
"154","3a_u8"
"155","3a_u9"
"156","3a_u10"
"157","3a_u11"
"158","3a_u12"
"159","3b_u1"
"160","3b_u2"
"161","3b_u3"
"162","3b_u4"
"163","3b_u5"
"164","3b_u6"
"165","3b_u7"
"166","3b_u8"
"167","3b_u9"
"168","3b_u10"
"169","3b_u11"
"170","3b_u12"
